trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-75.11389886702655,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.95}",20,0,-181.9785789480529,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-132.48508459995745,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-145.00855252508367,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-161.2514264450067,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-70.90518756987706,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,13,12.971831580403089,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-34.97374349541678,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,17,4.851787207179027,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-95.25692488991562,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-78.0972181429774,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,1,-47.63118640375484,"{0: 24, 1: 0, 2: 4, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-34.52010109672524,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-69.65089912549357,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.29999999999999966}",35,18,9.029873075562598,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,3.9134787580915162,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,6.542009572475726,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,9.26614639652474,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-23.039110709691798,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.049999999999999684}",35,26,16.321602175244216,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,0,24.818994756778935,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,20,11.751475583067649,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,14,-1.709824042519764,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,11,22.578164665937784,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,13,1.9141178014178388,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,6,-6.496493883251135,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,0,26.709731021981444,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",30,0,25.13223902429514,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,11,-27.989670384764487,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",20,13,-38.691194586461734,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
