trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 1.0}",25,0,-185.57327301562378,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 3}",0
2,False,"{'a': 0.9, 'e': 0.25}",30,0,-105.53036065970956,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.9, 'e': 0.1111111111111111}",20,0,-39.35518276935966,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.9, 'e': 0.0625}",25,10,-32.12383965940467,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
5,False,"{'a': 0.9, 'e': 0.04}",35,0,-114.23172547616238,"{0: 27, 1: 0, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.9, 'e': 0.027777777777777776}",25,0,-63.36273563594241,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 1}",0
7,False,"{'a': 0.9, 'e': 0.02040816326530612}",25,5,-19.321969493671507,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
8,False,"{'a': 0.9, 'e': 0.015625}",25,0,-88.28489760448339,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.9, 'e': 0.012345679012345678}",20,15,-2.6419273309334095,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.9, 'e': 0.01}",20,0,-87.02668043217734,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.9, 'e': 0.008264462809917356}",20,0,-1.0297712616189774,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.9, 'e': 0.006944444444444444}",20,0,-91.01839171221152,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.9, 'e': 0.005917159763313609}",20,0,8.639645702280214,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
14,False,"{'a': 0.9, 'e': 0.00510204081632653}",30,0,22.890868822735182,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",1
15,False,"{'a': 0.9, 'e': 0.0044444444444444444}",25,0,-19.295005619036107,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.9, 'e': 0.00390625}",25,0,16.68100761190959,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
17,False,"{'a': 0.9, 'e': 0.0034602076124567475}",25,7,31.13307170583978,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.9, 'e': 0.0030864197530864196}",20,0,-2.1302885455373843,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
19,False,"{'a': 0.9, 'e': 0.002770083102493075}",35,13,-43.816574321772556,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 2}",1
20,False,"{'a': 0.9, 'e': 0.0025}",20,7,9.520680286606993,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
21,False,"{'a': 0.9, 'e': 0.0022675736961451248}",20,0,-31.96612187572831,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
22,False,"{'a': 0.9, 'e': 0.002066115702479339}",20,1,28.66580525926496,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.9, 'e': 0.001890359168241966}",25,0,4.024209662017892,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
24,False,"{'a': 0.9, 'e': 0.001736111111111111}",25,17,15.51865579358001,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.9, 'e': 0.0016}",25,0,-80.41746923381969,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
26,False,"{'a': 0.9, 'e': 0.0014792899408284023}",20,6,-32.00975210082387,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
27,False,"{'a': 0.9, 'e': 0.0013717421124828531}",20,12,3.209296714316089,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.9, 'e': 0.0012755102040816326}",25,17,1.7352548420570506,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.9, 'e': 0.0011890606420927466}",30,1,42.57609321066258,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.9, 'e': 0.0011111111111111111}",25,19,-0.386258742739364,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
31,False,"{'a': 0.9, 'e': 0.001040582726326743}",25,2,-9.383784432039878,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
32,False,"{'a': 0.9, 'e': 0.0009765625}",20,15,-1.9659553265511,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
33,False,"{'a': 0.9, 'e': 0.0009182736455463728}",30,3,-3.3850776722028,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 1}",1
34,False,"{'a': 0.9, 'e': 0.0008650519031141869}",20,6,21.38165313873725,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.9, 'e': 0.0008163265306122449}",20,3,27.544302761369924,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.9, 'e': 0.0007716049382716049}",20,6,22.968825974224888,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.9, 'e': 0.0007304601899196494}",30,18,13.278975617155854,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
38,False,"{'a': 0.9, 'e': 0.0006925207756232687}",30,0,40.89075033899718,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
39,False,"{'a': 0.9, 'e': 0.0006574621959237344}",20,0,36.67966810847815,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
40,False,"{'a': 0.9, 'e': 0.000625}",20,11,18.96048861899548,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.9, 'e': 0.000594883997620464}",20,8,20.521271841049874,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.9, 'e': 0.0005668934240362812}",30,14,30.14200551704942,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.9, 'e': 0.0005408328826392645}",25,0,24.447211679405143,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
44,False,"{'a': 0.9, 'e': 0.0005165289256198347}",20,7,23.379558818573933,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.9, 'e': 0.0004938271604938272}",25,2,-22.472525693390537,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 1}",1
46,False,"{'a': 0.9, 'e': 0.0004725897920604915}",20,6,16.51569961251857,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.9, 'e': 0.0004526935264825713}",20,0,32.186263830218586,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
48,False,"{'a': 0.9, 'e': 0.00043402777777777775}",20,8,22.355410902145813,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.9, 'e': 0.00041649312786339027}",25,16,4.6087432962800925,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.9, 'e': 0.0004}",20,0,29.31967520255952,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
51,False,"{'a': 0.9, 'e': 0.00038446751249519417}",30,15,-36.11006532606706,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 1}",1
52,False,"{'a': 0.9, 'e': 0.0003698224852071006}",25,11,2.162821981778859,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
53,False,"{'a': 0.9, 'e': 0.000355998576005696}",20,15,-33.064440368770555,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
54,False,"{'a': 0.9, 'e': 0.0003429355281207133}",20,15,8.946519112628234,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
