trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 1.0}",20,0,-97.86304267745248,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",20,0,-55.027509604152804,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,0,-87.79336847385512,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-82.11509044337622,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",25,0,-94.67844416188542,"{0: 16, 1: 4, 2: 2, 3: 2, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",25,0,-63.22612241320802,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",25,0,-168.14281262047678,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,0,-66.24984681583535,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",20,16,4.738403101979281,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.01, 'e': 0.9950041652780258}",20,0,-48.23941564583431,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",20,0,-82.04835539458,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,12,-41.336273173635846,"{0: 5, 1: 0, 2: 1, 3: 2, 4: 0}",1
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",25,0,-215.76470449758028,"{0: 11, 1: 3, 2: 7, 3: 1, 4: 3}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",20,0,-157.63861036802444,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",20,0,0.9147350274546309,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",30,0,-119.80044351277786,"{0: 21, 1: 0, 2: 7, 3: 0, 4: 2}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",30,0,-138.9562948157159,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",20,0,-102.86886231743546,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",35,0,-175.2636639055892,"{0: 22, 1: 2, 2: 8, 3: 1, 4: 2}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",30,0,-193.76781556583776,"{0: 17, 1: 6, 2: 2, 3: 2, 4: 3}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",35,0,-154.72213523661546,"{0: 25, 1: 1, 2: 6, 3: 0, 4: 3}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",25,0,-58.85795536923882,"{0: 17, 1: 0, 2: 8, 3: 0, 4: 0}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",25,0,-108.20535852445163,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520297}",35,0,-170.83108072066142,"{0: 23, 1: 3, 2: 6, 3: 0, 4: 3}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",25,0,-181.96517991798535,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",20,0,-46.38549851888684,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",20,0,-79.81229672666933,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",20,0,-53.25361706701832,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",25,0,-66.32644858699327,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
30,False,"{'a': 0.01, 'e': 0.955336489125606}",30,0,-147.71227172485084,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",25,0,-128.77322829894663,"{0: 16, 1: 1, 2: 4, 3: 3, 4: 1}",0
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",20,0,-266.4951799834655,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 6}",0
