trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-51.39084843117953,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.90483741803595952}",35,11,-158.14553707651095,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 3}",1
3,False,"{'a': 0.5, 'e': 0.86070797642505781}",30,0,-176.92643251247964,"{0: 17, 1: 2, 2: 6, 3: 4, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.81873075307798182}",20,0,-114.88925338423319,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.77880078307140488}",25,0,-60.26078354330633,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.74081822068171788}",20,0,-87.08208521734599,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.70468808971871344}",25,2,-6.510730491116284,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.67032004603563933}",20,0,-93.17502765432783,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.63762815162177333}",30,0,-98.38854302420297,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.60653065971263342}",20,0,-37.75583797420151,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.57694981038048665}",20,10,-4.5162793584283545,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.54881163609402639}",20,0,2.6252570422716497,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.52204577676101604}",20,5,10.279790042144434,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.49658530379140947}",25,0,-69.11064692470364,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.47236655274101469}",20,13,-12.202664164176724,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.44932896411722156}",25,0,15.567674161824879,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.42741493194872665}",20,0,-18.747362823488977,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
