trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 1.0}",30,0,-179.68962710288568,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
2,False,"{'a': 0.9, 'e': 0.25}",30,0,-215.3980893959706,"{0: 16, 1: 0, 2: 11, 3: 0, 4: 3}",0
3,False,"{'a': 0.9, 'e': 0.1111111111111111}",20,0,-125.97660533071931,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.9, 'e': 0.0625}",30,0,-120.69908457302014,"{0: 22, 1: 0, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.9, 'e': 0.04}",20,2,-63.41233685642395,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 1}",1
6,False,"{'a': 0.9, 'e': 0.027777777777777776}",25,17,2.965502937582996,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.9, 'e': 0.02040816326530612}",25,11,5.164458350875157,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
8,False,"{'a': 0.9, 'e': 0.015625}",30,19,6.309802792079582,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.9, 'e': 0.012345679012345678}",25,0,-121.88698752588441,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 3}",0
10,False,"{'a': 0.9, 'e': 0.01}",25,18,13.034905569417448,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.9, 'e': 0.008264462809917356}",20,0,-28.899755012637847,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
12,False,"{'a': 0.9, 'e': 0.006944444444444444}",20,0,-41.768735191939506,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.9, 'e': 0.005917159763313609}",30,0,19.941780698370142,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.9, 'e': 0.00510204081632653}",30,13,20.838149248115084,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.9, 'e': 0.0044444444444444444}",20,12,13.063198630862427,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
