trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-131.6849581019126,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-135.509850185114,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-126.65576495180382,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-171.23580465352222,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-164.6066710150294,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-25.05769624552719,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-109.23945326448325,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.75768285923962,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-13.461927426909725,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",35,0,-226.66369562112473,"{0: 16, 1: 5, 2: 10, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,19,-15.574911436238018,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-127.09008236967274,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-174.47051490509983,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",35,0,-176.96634389391681,"{0: 17, 1: 6, 2: 10, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-186.8915988359099,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.34161926334527,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.96202734040214,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-54.572140279327314,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.96732684517521,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-169.7376305436193,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-98.65215897937821,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-121.99498055204603,"{0: 16, 1: 2, 2: 11, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-234.65460539029138,"{0: 5, 1: 4, 2: 6, 3: 2, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-111.17375187871758,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-159.82830240344876,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-56.564252951679364,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-51.82774020237153,"{0: 21, 1: 3, 2: 6, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-17.340234330005465,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-51.61111161056245,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-109.3857113013588,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
